time,x,y,z,rx,ry,rz,rw
1470,0.002640745530243682,0.0030969561802897186,0.0008045321030113461,7.3259314079532345e-06,-0.0013556907019708995,-0.0038412215121307993,-0.00027363379978085197
1471,0.0026448220077766593,0.0031018348047405914,0.0008016415541710065,7.294844407867984e-06,-0.0013543450002137633,-0.0038331644666871985,-0.0002669593887215987
1472,0.002709346666780077,0.003223261514196725,0.0008025079639197297,7.28015555051531e-06,-0.0013533624211961729,-0.0038297606406372457,-0.00025617237824970764
1473,0.0026615600837125997,0.0031191382453792937,0.0007966010302791204,7.26884893564872e-06,-0.0013519714636694479,-0.003827747356524679,-0.00023584786764323034
1474,0.0025762659095616147,0.0029283912410042502,0.0007914931470858755,7.2667898102229955e-06,-0.001350980544234836,-0.003828068245186039,-0.0002165369543591599
1475,0.0024031602418164155,0.0028656179678006946,0.0007820692215496083,7.273999442669599e-06,-0.001350178215858752,-0.0038308939363106732,-0.0001949408713196501
1476,0.0022762091378256133,0.0029293968020439633,0.0007816030080440295,7.2821556212909755e-06,-0.0013495323886063217,-0.0038337801300914257,-0.00017346245304163756
1477,0.0020865841301791477,0.002866666677923735,0.0007785729413393172,7.283626447085467e-06,-0.0013489805514310727,-0.003834565613579217,-0.0001511561463608504
1478,0.001970315325398375,0.0029389576524422104,0.0007758038112962162,7.266639500014271e-06,-0.0013487735678646192,-0.0038297676461993896,-0.0001382114613303972
1479,0.0017725725880620713,0.0028015659746614234,0.0007846363571037407,7.1887696201367035e-06,-0.0013484868753563068,-0.0038072939067380126,-0.00011771931679283527
1480,0.0017749007077375034,0.0030979265605381757,0.000788987988548373,7.152917981811946e-06,-0.001348425848907893,-0.0037968757004290567,-0.00011340303973744193
1481,0.0016844394535023288,0.0031524290325104613,0.0008044691713083307,7.040712645345337e-06,-0.0013482664698719901,-0.0037641026127489398,-0.00010694994434186646
1482,0.0015004522457087166,0.002852785234402213,0.0008532116003115431,6.754284979648695e-06,-0.001347718868428017,-0.0036791083288409488,-9.803085785553756e-05
1483,0.0015381296727606797,0.0031938192083070457,0.0008579664039771173,6.703510307515259e-06,-0.001347713311601446,-0.0036637913915950407,-9.819364056999941e-05
1484,0.001506470850088315,0.003249701446778556,0.0008880867051306307,6.523279715286989e-06,-0.001347375986841431,-0.00360889344298637,-9.19881392263812e-05
1485,0.0014829291580514825,0.003260105427215585,0.0009264382748047639,6.3164048870190115e-06,-0.0013468561994060971,-0.0035446899050339984,-8.096765162206242e-05
1486,0.001486487746102605,0.0033388173729784337,0.0009503557975381605,6.149950089406886e-06,-0.0013465666077148576,-0.0034919479027573095,-7.074898957069353e-05
1487,0.0014994263963020171,0.0034049161671293113,0.0009797140060920917,5.989913626103238e-06,-0.001346135777381598,-0.00344014600630416,-5.098713063332988e-05
1488,0.0015045839165319097,0.003357480278126563,0.0010027861878925126,5.812336302701837e-06,-0.001345902933685621,-0.0033811049979229216,-2.30830223905224e-05
1489,0.0015503403339573452,0.003583928548166849,0.0010166549527838575,5.738480462036399e-06,-0.0013457335134950833,-0.0033558816900776953,-5.215631427209601e-06
1490,0.0015498108658306142,0.0033702366872081883,0.0010372027644653947,5.5589657822485705e-06,-0.0013456979075302687,-0.0032928751274867787,4.0282375256399676e-05
1491,0.001573868644506815,0.003345896232318818,0.0010440663613752732,5.455953040134354e-06,-0.0013458498262682366,-0.0032552533541611514,7.212674242576872e-05
1492,0.0016181986363983936,0.0035150464519668988,0.00104484418488332,5.404828391619709e-06,-0.0013460098036525807,-0.003235967546149683,9.10111238586315e-05
1493,0.001607180880486725,0.003130067660307344,0.001029586189131959,5.304093246061292e-06,-0.001346843457321948,-0.003195504930925817,0.0001424253958041406
1494,0.0016303781110914017,0.0030975516111870667,0.001014067273670427,5.2705059317981195e-06,-0.001347473745620492,-0.00318037797065553,0.00016948933434032424
1495,0.0016693320624103225,0.0032225067507739534,0.001003648983297356,5.255018726058047e-06,-0.0013478831514607287,-0.0031727583829287104,0.00018588625117695994
1496,0.0016757263400324907,0.0030706243792385096,0.0009676901605329968,5.239955690350406e-06,-0.0013489010868165843,-0.0031650459055467817,0.0002004295098355867
1497,0.0017177169699984507,0.0032545442978995608,0.0009505912123602411,5.239252977906617e-06,-0.001349328501725372,-0.0031639177772136025,0.00020546196628658508
1498,0.001733022843422638,0.0032131192902252192,0.0009206831448737574,5.246284671578394e-06,-0.0013499934563068776,-0.0031652355066501153,0.0002117574633180717
1499,0.0017555731568053567,0.0032647528776822525,0.0008883234823415243,5.260911240090316e-06,-0.0013506453047946489,-0.0031702241161507155,0.00021045112244781833
1500,0.00175395640835313,0.0031333854752039966,0.00085095616751657,5.297286406635848e-06,-0.0013513221337057338,-0.0031825366590849283,0.00021199418823640575
1501,0.0017659871334910204,0.0031341880282269377,0.000821068211355025,5.337056827703357e-06,-0.0013518921627249055,-0.0031962764128105584,0.0002117749660351835
1502,0.0017891148888949382,0.0032295491250596553,0.0007991563010995018,5.3737365990347286e-06,-0.0013523419936608185,-0.0032091528083454213,0.00020982332678210337
1503,0.0017982133130036715,0.0032337064712579695,0.0007749532961859318,5.425113511980939e-06,-0.0013528962735324568,-0.0032272937629174423,0.0002057811198560747
1504,0.0017981202001800534,0.0031898279913978554,0.0007493355441304805,5.488318599700115e-06,-0.0013535893329915702,-0.003249727229100514,0.00019841578202955045
1505,0.0018114826407770734,0.003239253326948483,0.000739170873396755,5.544521177847095e-06,-0.0013540168592449703,-0.003269189663355159,0.00019556126578281272
1506,0.0018079716268703527,0.0031915512843383627,0.0007235586650088943,5.617950137426497e-06,-0.0013547524134735322,-0.003294794084667062,0.00018768499422256368
1507,0.0018252640150130395,0.003285287388796007,0.0007184513392937131,5.673085633151054e-06,-0.0013552479043108662,-0.0033138202766767226,0.00018241378036534453
1508,0.0018126537480376292,0.003189286393708163,0.0007159397569837522,5.759624810086628e-06,-0.0013560392896716485,-0.003343266816324929,0.00017549137568912706
1509,0.0017981019006473309,0.0030894797526634862,0.0007190324113710567,5.849200317653569e-06,-0.001356911897597159,-0.0033732975560316148,0.00016928064104768586
1510,0.001827087317314291,0.0032724618437699575,0.0007224562031877269,5.894056619437649e-06,-0.0013573791405961486,-0.0033882558402733793,0.00016565483296740577
1511,0.0018047794225968805,0.003135547160459065,0.0007372682279890852,5.988307053228503e-06,-0.00135834793434842,-0.003419621581840222,0.00015620954134875508
1512,0.0018098155603350485,0.003182650860394924,0.0007434437819824891,6.05278696730327e-06,-0.0013591792897998094,-0.00344116478760764,0.00014580775827044548
1513,0.0018069816273507677,0.0031810996905822335,0.0007557584460406441,6.12436766878055e-06,-0.0013600432321434204,-0.0034645716185791055,0.00013782543870417038
1514,0.0018186577213255561,0.0032708393756351335,0.0007662176701045409,6.181023154638865e-06,-0.0013607614771773574,-0.0034828773700625354,0.00013221837515012584
