px py pz ox oy oz ow
0.472577 -0.070967 0.173787 0.999041 0.0304071 0.0281578 0.0141102
0.474401 -0.0712701 0.173256 0.999033 0.0305248 0.0281081 0.0145319
0.476136 -0.0713845 0.172945 0.999015 0.0308024 0.0282437 0.0149138
0.477849 -0.0713865 0.17278 0.99899 0.0311717 0.02852 0.015276
0.479619 -0.0713706 0.172549 0.998965 0.0315679 0.028752 0.0156527
0.481061 -0.0713699 0.172344 0.998945 0.0318817 0.028926 0.0159604
0.482493 -0.0713654 0.17198 0.998929 0.0322104 0.0289584 0.0162719
0.483661 -0.0713757 0.171689 0.998916 0.0324597 0.028992 0.0165235
0.485036 -0.071389 0.171295 0.998901 0.0327529 0.0289879 0.0168208
0.486211 -0.0714094 0.17096 0.998889 0.0329943 0.0289967 0.0170725
0.487842 -0.071512 0.170546 0.998872 0.0332363 0.0290821 0.0174255
0.48923 -0.0716354 0.17038 0.998855 0.0333959 0.0293244 0.0177204
0.490506 -0.0717692 0.1703 0.998837 0.0335191 0.0296142 0.0179901
0.492338 -0.0719604 0.170162 0.998813 0.0336963 0.0300043 0.0183763
0.493587 -0.072079 0.169913 0.998799 0.0338449 0.0301326 0.0186423
0.494521 -0.0721005 0.169539 0.998791 0.034027 0.0300642 0.0188369
0.495353 -0.0720213 0.16914 0.998783 0.0342905 0.029941 0.0189978
0.496279 -0.071857 0.168808 0.998768 0.0346393 0.0299151 0.01916
0.497479 -0.0715587 0.168502 0.998745 0.0351467 0.0299925 0.0193486
0.498621 -0.071225 0.168103 0.998725 0.0356271 0.0299781 0.019521
0.499572 -0.0709196 0.167567 0.998716 0.0359562 0.0297926 0.0196606
0.500544 -0.0706064 0.166854 0.998715 0.0361814 0.0294599 0.0198007
0.501436 -0.0702925 0.166051 0.998729 0.0360645 0.0290428 0.0199194
0.502418 -0.0699432 0.165188 0.998773 0.0350933 0.0286297 0.0200233
0.503487 -0.0695595 0.164261 0.998824 0.0338715 0.0282585 0.0201329
0.504816 -0.0691567 0.163178 0.998874 0.0326619 0.0277917 0.0202811
0.505889 -0.0688928 0.162217 0.998902 0.0321267 0.0273166 0.0204242
0.506818 -0.0686763 0.161071 0.998916 0.0321483 0.0266336 0.0205698
0.507681 -0.0685946 0.159931 0.998923 0.0324008 0.0259461 0.020738
0.508694 -0.068642 0.158829 0.998926 0.0325993 0.0253848 0.0209557
0.509723 -0.0688378 0.157759 0.998931 0.0326753 0.0248929 0.0212071
0.510846 -0.0690947 0.156784 0.998933 0.0326986 0.0245573 0.0214814
0.512102 -0.0693723 0.155751 0.998935 0.0327417 0.0241405 0.0217803
0.512979 -0.0695545 0.154618 0.998943 0.0328124 0.0234891 0.0219994
0.513624 -0.0696659 0.153603 0.998951 0.0329005 0.0228579 0.0221635
0.514347 -0.0698111 0.152106 0.998966 0.033012 0.0218566 0.0223604
0.514843 -0.0699149 0.150908 0.998977 0.033094 0.021038 0.0225017
0.515479 -0.0700543 0.149663 0.998987 0.0331756 0.0202726 0.0226785
0.516094 -0.0702049 0.148658 0.998991 0.03322 0.0197606 0.0228508
0.51688 -0.0703733 0.147767 0.998993 0.0332728 0.0193618 0.0230485
0.517739 -0.0705159 0.147178 0.99899 0.0333329 0.0191914 0.0232408
0.518525 -0.0706673 0.146388 0.99899 0.033392 0.018832 0.0234284
0.518986 -0.0707714 0.145469 0.998996 0.0334533 0.0182462 0.0235565
0.519281 -0.0707971 0.144557 0.999002 0.0335513 0.0176063 0.0236369
0.5194 -0.0707957 0.143513 0.999012 0.033654 0.0167942 0.0236867
0.519389 -0.0706832 0.142168 0.999023 0.0338581 0.0156848 0.0236993
